Rk,Player,Tm,Age,Pos,Games G,Games GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Yds Touch,Total Yds Y/Tch,Total Yds YScm,RRTD,Fmb
384,De'Anthony Thomas,KAN,23,,12,0,9,7,35,5,0,15,0.6,2.9,77.80%,4,29,0,23,7.3,2.4,0.3,11,5.8,64,0,0
385,Keenan Allen,SDG,24,wr,1,1,7,6,63,10.5,0,15,6,63,85.70%,,,,,,,,6,10.5,63,0,0
386,Brandon Bostick,NYJ,27,te,16,7,11,8,63,7.9,0,14,0.5,3.9,72.70%,,,,,,,,8,7.9,63,0,0
387,Phillip Supernaw,TEN,26,te,15,2,5,4,62,15.5,0,30,0.3,4.1,80.00%,,,,,,,,4,15.5,62,0,0
388,Dominique Jones,MIA,29,te,9,2,10,7,61,8.7,1,24,0.8,6.8,70.00%,,,,,,,,7,8.7,61,1,0
389,Jordan Cameron,MIA,28,te,3,3,11,8,60,7.5,1,13,2.7,20,72.70%,,,,,,,,8,7.5,60,1,0
390,Jace Amaro,TEN,24,,3,0,4,3,59,19.7,0,26,1,19.7,75.00%,,,,,,,,3,19.7,59,0,0
391,Brandon Myers,TAM,31,TE,16,9,14,7,59,8.4,1,12,0.4,3.7,50.00%,,,,,,,,7,8.4,59,1,0
392,Jordan Todman,IND,26,,16,0,1,0,0,,0,0,0,0,0.00%,9,59,0,19,6.6,3.7,0.6,9,6.6,59,0,0
393,Nick Williams,ATL,26,,2,0,7,5,59,11.8,0,19,2.5,29.5,71.40%,,,,,,,,5,11.8,59,0,0
394,Sam Bradford,MIN,29,QB,15,15,1,1,5,5,0,5,0.1,0.3,100.00%,20,53,0,24,2.7,3.5,1.3,21,2.8,58,0,10
395,Rhett Ellison,MIN,28,te,15,6,14,9,57,6.3,0,21,0.6,3.8,64.30%,1,1,1,1,1,0.1,0.1,10,5.8,58,1,0
396,Joe Flacco,BAL,31,QB,16,16,0,0,0,,0,0,0,0,0.00%,21,58,2,16,2.8,3.6,1.3,21,2.8,58,2,5
397,Trevor Siemian,DEN,25,QB,14,14,0,0,0,,0,0,0,0,0.00%,28,57,0,14,2,4.1,2,28,2,57,0,4
398,Jamaal Charles,KAN,30,,3,0,3,2,14,7,0,16,0.7,4.7,66.70%,12,40,1,17,3.3,13.3,4,14,3.9,54,1,0
399,Knile Davis,2TM,25,,11,0,7,5,25,5,0,11,0.5,2.3,71.40%,18,28,0,6,1.6,2.5,1.6,23,2.3,53,0,0
400,Patrick DiMarco,ATL,27,FB,16,8,10,7,52,7.4,1,18,0.4,3.3,70.00%,,,,,,,,7,7.4,52,1,0
401,Case Keenum,LAR,28,QB,10,9,0,0,0,,0,0,0,0,0.00%,20,51,1,13,2.6,5.1,2,20,2.6,51,1,5
402,Markus Wheaton,PIT,25,wr,3,2,9,4,51,12.8,1,30,1.3,17,44.40%,,,,,,,,4,12.8,51,1,0
403,Tavarres King,NYG,26,,7,0,4,2,50,25,0,44,0.3,7.1,50.00%,,,,,,,,2,25,50,0,0
404,Ifeanyi Momah,ARI,27,te,5,1,4,2,50,25,0,27,0.4,10,50.00%,,,,,,,,2,25,50,0,0
405,Javorius Allen,BAL,25,,8,0,4,3,15,5,0,8,0.4,1.9,75.00%,9,34,0,7,3.8,4.3,1.1,12,4.1,49,0,0
406,Troymaine Pope,2TM,23,,4,0,2,1,5,5,0,5,0.3,1.3,50.00%,12,44,0,18,3.7,11,3,13,3.8,49,0,0
407,Brandon Wilds,NYJ,23,,4,0,2,2,20,10,0,12,0.5,5,100.00%,10,27,0,6,2.7,6.8,2.5,12,3.9,47,0,0
408,Malcolm Johnson,CLE,24,fb,7,1,7,5,44,8.8,0,21,0.7,6.3,71.40%,1,2,0,2,2,0.3,0.1,6,7.7,46,0,1
409,Nick Boyle,BAL,23,,6,0,6,6,44,7.3,0,20,1,7.3,100.00%,,,,,,,,6,7.3,44,0,0
410,Quan Bray,IND,23,,6,0,4,3,36,12,0,22,0.5,6,75.00%,1,7,0,7,7,1.2,0.2,4,10.8,43,0,0
411,Daniel Lasco,NOR,24,,7,0,4,2,11,5.5,0,7,0.3,1.6,50.00%,11,32,0,6,2.9,4.6,1.6,13,3.3,43,0,0
412,Joshua Perkins,ATL,23,te,8,1,5,3,42,14,1,26,0.4,5.3,60.00%,,,,,,,,3,14,42,1,0
413,Demarcus Ayers,PIT,22,wr,2,1,13,6,53,8.8,1,15,3,26.5,46.20%,2,-12,0,0,-6,-6,1,8,5.1,41,1,0
414,Ben Braunecker,CHI,22,te,13,2,6,4,41,10.3,0,14,0.3,3.2,66.70%,,,,,,,,4,10.3,41,0,0
415,Mike James,TAM,25,,4,0,4,4,22,5.5,0,6,1,5.5,100.00%,4,19,0,9,4.8,4.8,1,8,5.1,41,0,0
416,Bradley Marquez,LAR,24,,14,0,7,3,37,12.3,0,13,0.2,2.6,42.90%,1,2,0,2,2,0.1,0.1,4,9.8,39,0,0
417,Alan Cross,TAM,23,,14,0,10,6,38,6.3,1,10,0.4,2.7,60.00%,,,,,,,,6,6.3,38,1,0
418,Dexter McCluster,SDG,27,,6,0,11,7,36,5.1,0,10,1.2,6,63.60%,3,2,0,2,0.7,0.3,0.5,10,3.8,38,0,0
419,Carson Palmer,ARI,37,QB,15,15,0,0,0,,0,0,0,0,0.00%,14,38,0,16,2.7,2.5,0.9,14,2.7,38,0,14
420,Jeremy Ross,2TM,28,,6,1,4,4,37,9.3,1,15,0.7,6.2,100.00%,,,,,,,,4,9.3,37,1,0
421,Mike Thomas,LAR,22,,15,0,9,3,37,12.3,0,16,0.2,2.5,33.30%,,,,,,,,3,12.3,37,0,1
422,Brandon Williams,SEA,29,fb,16,1,3,2,36,18,0,20,0.1,2.3,66.70%,,,,,,,,2,18,36,0,0
423,Taiwan Jones,OAK,28,,13,0,4,4,43,10.8,0,16,0.3,3.3,100.00%,1,-8,0,-8,-8,-0.6,0.1,5,7,35,0,0
424,Justin Perillo,GNB,25,te,9,1,5,4,35,8.8,0,13,0.4,3.9,80.00%,,,,,,,,4,8.8,35,0,0
425,Philip Rivers,SDG,35,QB,16,16,0,0,0,,0,0,0,0,0.00%,14,35,0,10,2.5,2.2,0.9,14,2.5,35,0,9
426,George Atkinson,CLE,24,,16,0,0,0,0,,0,0,0,0,0.00%,7,34,1,11,4.9,2.1,0.4,7,4.9,34,1,1
427,Terrell Watson,PHI,23,,1,0,1,1,5,5,0,5,1,5,100.00%,9,28,1,8,3.1,28,9,10,3.3,33,1,0
428,Rashad Greene,JAX,24,,8,0,8,5,32,6.4,0,9,0.6,4,62.50%,,,,,,,,5,6.4,32,0,4
429,Don Jackson,GNB,23,rb,3,1,1,0,0,,0,0,0,0,0.00%,10,32,0,7,3.2,10.7,3.3,10,3.2,32,0,0
430,Nick Vannett,SEA,23,te,9,2,4,3,32,10.7,0,21,0.3,3.6,75.00%,,,,,,,,3,10.7,32,0,0
431,Quinton Dunbar,WAS,24,cb,14,2,1,1,31,31,0,31,0.1,2.2,100.00%,,,,,,,,1,31,31,0,1
432,Gavin Escobar,DAL,25,te,16,1,7,4,30,7.5,1,14,0.3,1.9,57.10%,,,,,,,,4,7.5,30,1,0
433,Chris Jones,DAL,27,P,16,0,0,0,0,,0,0,0,0,0.00%,1,30,0,30,30,1.9,0.1,1,30,30,0,0
434,Leonte Carroo,MIA,22,wr,14,2,6,3,29,9.7,1,15,0.2,2.1,50.00%,,,,,,,,3,9.7,29,1,0
435,Lee Smith,OAK,29,te,4,4,6,6,29,4.8,0,12,1.5,7.3,100.00%,,,,,,,,6,4.8,29,0,0
436,Isaiah Pead,MIA,27,,3,0,1,1,6,6,0,6,0.3,2,100.00%,8,22,0,4,2.8,7.3,2.7,9,3.1,28,0,0
437,Marquette King,OAK,28,P,16,0,0,0,0,,0,0,0,0,0.00%,2,27,0,27,13.5,1.7,0.1,2,13.5,27,0,1
438,Niles Paul,WAS,27,te,8,1,2,2,27,13.5,0,16,0.3,3.4,100.00%,,,,,,,,2,13.5,27,0,0
439,Dan Vitale,CLE,23,fb,9,3,5,4,27,6.8,0,17,0.4,3,80.00%,,,,,,,,4,6.8,27,0,0
440,D.J. Foster,NWE,23,,3,0,2,1,2,2,0,2,0.3,0.7,50.00%,7,24,0,7,3.4,8,2.3,8,3.3,26,0,0
441,Jon Ryan,SEA,35,P,16,0,0,0,0,,0,0,0,0,0.00%,2,26,0,26,13,1.6,0.1,2,13,26,0,3
442,Juwan Thompson,DEN,22,fb,8,1,1,0,0,,0,0,0,0,0.00%,8,26,1,14,3.3,3.3,1,8,3.3,26,1,0
443,Paxton Lynch,DEN,22,qb,3,2,0,0,0,,0,0,0,0,0.00%,11,25,0,10,2.3,8.3,3.7,11,2.3,25,0,2
444,Sean McGrath,SDG,29,te,16,5,2,2,25,12.5,0,13,0.1,1.6,100.00%,,,,,,,,2,12.5,25,0,0
445,Keith Smith,DAL,24,fb,16,1,4,3,20,6.7,0,14,0.2,1.3,75.00%,2,5,0,3,2.5,0.3,0.1,5,5,25,0,0
446,Jay Cutler,CHI,33,qb,5,5,0,0,0,,0,0,0,0,0.00%,5,24,0,12,4.8,4.8,1,5,4.8,24,0,6
447,Trevor Davis,GNB,23,,11,0,7,3,24,8,1,9,0.3,2.2,42.90%,,,,,,,,3,8,24,1,2
448,Shane Wynn,JAX,24,,5,0,3,1,19,19,0,19,0.2,3.8,33.30%,2,5,0,7,2.5,1,0.4,3,8,24,0,0
449,DeAndre Smelter,SFO,25,,2,0,1,1,23,23,0,23,0.5,11.5,100.00%,,,,,,,,1,23,23,0,0
450,Luke Stocker,TAM,28,TE,12,10,8,5,23,4.6,0,11,0.4,1.9,62.50%,,,,,,,,5,4.6,23,0,0
451,Matt Lengel,NWE,26,,6,0,3,2,22,11,1,18,0.3,3.7,66.70%,,,,,,,,2,11,22,1,0
452,EJ Manuel,BUF,26,qb,6,1,0,0,0,,0,0,0,0,0.00%,8,22,0,8,2.8,3.7,1.3,8,2.8,22,0,2
453,Khiry Robinson,NYJ,27,,1,0,0,0,0,,0,0,0,0,0.00%,8,22,0,10,2.8,22,8,8,2.8,22,0,1
454,Griff Whalen,SDG,26,,8,0,4,2,22,11,0,12,0.3,2.8,50.00%,,,,,,,,2,11,22,0,0
455,Tyler Ervin,HOU,23,,12,0,5,3,18,6,0,9,0.3,1.5,60.00%,1,3,0,3,3,0.3,0.1,4,5.3,21,0,3
456,Josh McCown,CLE,37,qb,5,3,0,0,0,,0,0,0,0,0.00%,7,21,0,7,3,4.2,1.4,7,3,21,0,7
457,Drew Brees,NOR,37,QB,16,16,0,0,0,,0,0,0,0,0.00%,23,20,2,7,0.9,1.3,1.4,23,0.9,20,2,5
458,Devin Smith,NYJ,24,,4,0,3,1,20,20,0,20,0.3,5,33.30%,,,,,,,,1,20,20,0,0
459,Devin Street,IND,25,,5,0,6,1,20,20,0,20,0.2,4,16.70%,,,,,,,,1,20,20,0,0
460,Brandon Bolden,NWE,26,,14,0,4,2,15,7.5,0,13,0.1,1.1,50.00%,1,4,0,4,4,0.3,0.1,3,6.3,19,0,0
461,Clay Harbor,2TM,29,,15,2,3,3,19,6.3,0,9,0.2,1.3,100.00%,,,,,,,,3,6.3,19,0,0
462,Bryce Petty,NYJ,25,qb,6,4,0,0,0,,0,0,0,0,0.00%,5,19,0,9,3.8,3.2,0.8,5,3.8,19,0,1
463,James Develin,NWE,28,fb/rb,16,4,6,3,18,6,0,13,0.2,1.1,50.00%,,,,,,,,3,6,18,0,0
464,Cody Kessler,CLE,23,QB,9,8,0,0,0,,0,0,0,0,0.00%,11,18,0,8,1.6,2,1.2,11,1.6,18,0,4
465,J.D. McKissic,SEA,23,,1,0,2,2,16,8,0,10,2,16,100.00%,1,2,0,2,2,2,1,3,6,18,0,0
466,Cole Wick,DET,23,,6,0,3,2,18,9,0,13,0.3,3,66.70%,,,,,,,,2,9,18,0,0
467,Brenton Bersin,CAR,26,,10,0,6,2,17,8.5,0,10,0.2,1.7,33.30%,,,,,,,,2,8.5,17,0,0
468,Jalston Fowler,TEN,26,fb,16,7,2,1,14,14,0,14,0.1,0.9,50.00%,1,3,0,3,3,0.2,0.1,2,8.5,17,0,0
469,Connor Hamlett,CLE,24,te,3,2,1,1,17,17,1,17,0.3,5.7,100.00%,,,,,,,,1,17,17,1,0
470,Percy Harvin,BUF,28,wr,2,1,4,2,6,3,0,5,1,3,50.00%,1,11,0,11,11,5.5,0.5,3,5.7,17,0,0
471,Damiere Byrd,CAR,23,,1,0,1,1,16,16,0,16,1,16,100.00%,,,,,,,,1,16,16,0,0
472,Jared Goff,LAR,22,qb,7,7,0,0,0,,0,0,0,0,0.00%,8,16,1,6,2,2.3,1.1,8,2,16,1,5
473,Colton Schmidt,BUF,26,P,16,0,0,0,0,,0,0,0,0,0.00%,1,16,0,16,16,1,0.1,1,16,16,0,1
474,Bralon Addison,CHI,23,,2,0,1,1,11,11,0,11,0.5,5.5,100.00%,1,4,0,4,4,2,0.5,2,7.5,15,0,1
475,Antonio Andrews,TEN,24,,16,0,0,0,0,,0,0,0,0,0.00%,2,15,0,9,7.5,0.9,0.1,2,7.5,15,0,0
476,Zach Line,MIN,26,fb/te,15,4,3,0,0,,0,0,0,0,0.00%,7,15,0,5,2.1,1,0.5,7,2.1,15,0,0
477,Marc Mariani,TEN,29,,16,0,0,0,0,,0,0,0,0,0.00%,1,15,0,15,15,0.9,0.1,1,15,15,0,1
478,Logan Paulsen,CHI,29,TE,16,12,10,3,15,5,0,7,0.2,0.9,30.00%,,,,,,,,3,5,15,0,0
479,Cedric Peerman,CIN,30,,6,0,1,0,0,,0,0,0,0,0.00%,6,15,0,4,2.5,2.5,1,6,2.5,15,0,0
480,Jay Prosch,HOU,24,fb,15,1,1,1,6,6,0,6,0.1,0.4,100.00%,4,9,0,5,2.3,0.6,0.3,5,3,15,0,0
481,Ross Travis,KAN,23,te,6,3,6,3,15,5,0,6,0.5,2.5,50.00%,,,,,,,,3,5,15,0,0
482,Laquon Treadwell,MIN,21,wr,9,1,3,1,15,15,0,15,0.1,1.7,33.30%,,,,,,,,1,15,15,0,0
483,Gerald Christian,BUF,25,,3,0,2,1,14,14,0,14,0.3,4.7,50.00%,,,,,,,,1,14,14,0,0
484,Ben Roethlisberger,PIT,34,QB,14,14,0,0,0,,0,0,0,0,0.00%,16,14,1,14,0.9,1,1.1,16,0.9,14,1,8
485,Je'Ron Hamm,SFO,24,,5,0,4,2,13,6.5,0,7,0.4,2.6,50.00%,,,,,,,,2,6.5,13,0,0
486,Dwayne Harris,NYG,29,wr,16,1,1,1,13,13,1,13,0.1,0.8,100.00%,,,,,,,,1,13,13,1,3
487,Ryan Hewitt,CIN,25,RB,16,11,3,2,13,6.5,0,8,0.1,0.8,66.70%,,,,,,,,2,6.5,13,0,0
488,Henry Krieger-Coble,DEN,24,,2,0,1,1,13,13,0,13,0.5,6.5,100.00%,,,,,,,,1,13,13,0,0
489,MyCole Pruitt,2TM,24,,4,0,2,2,13,6.5,0,7,0.5,3.3,100.00%,,,,,,,,2,6.5,13,0,0
490,Jake Fisher,CIN,23,rt,15,3,1,1,12,12,0,12,0.1,0.8,100.00%,,,,,,,,1,12,12,0,1
491,Terrence Magee,SEA,23,,2,0,0,0,0,,0,0,0,0,0.00%,3,12,0,5,4,6,1.5,3,4,12,0,0
492,Tom Savage,HOU,26,qb,3,2,0,0,0,,0,0,0,0,0.00%,6,12,0,11,2,4,2,6,2,12,0,1
493,Stepfan Taylor,ARI,25,,15,0,0,0,0,,0,0,0,0,0.00%,4,12,0,12,3,0.8,0.3,4,3,12,0,0
494,Jeremy Butler,SDG,25,,4,0,2,2,11,5.5,0,6,0.5,2.8,100.00%,,,,,,,,2,5.5,11,0,0
495,Alex Ellis,JAX,23,te,6,3,4,3,11,3.7,0,6,0.5,1.8,75.00%,,,,,,,,3,3.7,11,0,0
496,Bronson Hill,JAX,23,,3,0,1,0,0,,0,0,0,0,0.00%,2,11,0,7,5.5,3.7,0.7,2,5.5,11,0,0
497,Paul Lasike,CHI,26,fb/wr,10,3,1,1,3,3,0,3,0.1,0.3,100.00%,3,8,0,5,2.7,0.8,0.3,4,2.8,11,0,0
498,Anthony Sherman,KAN,28,fb,16,3,6,4,11,2.8,0,6,0.3,0.7,66.70%,,,,,,,,4,2.8,11,0,0
499,Derek Carrier,WAS,26,,8,0,2,2,10,5,0,6,0.3,1.3,100.00%,,,,,,,,2,5,10,0,0
500,Taylor Lewan,TEN,25,LT,16,16,1,1,10,10,1,10,0.1,0.6,100.00%,,,,,,,,1,10,10,1,0
501,Chris Manhertz,2TM,24,,7,2,1,1,10,10,0,10,0.1,1.4,100.00%,,,,,,,,1,10,10,0,0
502,Lorenzo Taliaferro,BAL,25,,3,0,3,3,10,3.3,0,8,1,3.3,100.00%,1,0,0,0,0,0,0.3,4,2.5,10,0,0
503,Jimmy Garoppolo,NWE,25,qb,6,2,1,1,3,3,0,3,0.2,0.5,100.00%,10,6,0,10,0.6,1,1.7,11,0.8,9,0,2
504,Geno Smith,NYJ,26,qb,2,1,0,0,0,,0,0,0,0,0.00%,2,9,0,7,4.5,4.5,1,2,4.5,9,0,1
505,Tony Washington,JAX,24,,2,0,1,1,9,9,0,9,0.5,4.5,100.00%,,,,,,,,1,9,9,0,0
506,Jared Abbrederis,GNB,26,,5,0,2,1,8,8,0,8,0.2,1.6,50.00%,,,,,,,,1,8,8,0,0
507,Matthew Mulligan,DET,31,,8,0,1,1,8,8,0,8,0.1,1,100.00%,,,,,,,,1,8,8,0,0
508,Rashad Ross,WAS,26,,5,0,1,1,8,8,0,8,0.2,1.6,100.00%,,,,,,,,1,8,8,0,0
509,Joe Banyard,JAX,28,,1,0,0,0,0,,0,0,0,0,0.00%,2,7,0,7,3.5,7,2,2,3.5,7,0,0
510,Daryl Richardson,PIT,26,,3,0,0,0,0,,0,0,0,0,0.00%,2,7,0,6,3.5,2.3,0.7,2,3.5,7,0,0
511,Stevan Ridley,ATL,27,,1,0,0,0,0,,0,0,0,0,0.00%,3,7,0,7,2.3,7,3,3,2.3,7,0,0
512,Brandon McManus,DEN,25,K,16,0,0,0,0,,0,0,0,0,0.00%,1,6,0,6,6,0.4,0.1,1,6,6,0,0
513,Paul McRoberts,LAR,24,,2,0,1,1,6,6,0,6,0.5,3,100.00%,,,,,,,,1,6,6,0,0
514,Raheem Mostert,2TM,24,,3,0,0,0,0,,0,0,0,0,0.00%,1,6,0,6,6,2,0.3,1,6,6,0,0
515,George Farmer,SEA,23,,2,0,3,1,4,4,0,4,0.5,2,33.30%,1,1,0,1,1,0.5,0.5,2,2.5,5,0,0
516,Shaun Hill,MIN,36,qb,3,1,0,0,0,,0,0,0,0,0.00%,5,5,0,9,1,1.7,1.7,5,1,5,0,0
517,Roosevelt Nix,PIT,24,fb,10,3,2,2,5,2.5,0,3,0.2,0.5,100.00%,,,,,,,,2,2.5,5,0,0
518,Matt Slater,NWE,31,,13,0,1,0,0,,0,0,0,0,0.00%,1,5,0,5,5,0.4,0.1,1,5,5,0,2
519,Derek Anderson,CAR,33,qb,5,2,0,0,0,,0,0,0,0,0.00%,1,4,0,4,4,0.8,0.2,1,4,4,0,1
520,Matt Barkley,CHI,26,qb,7,6,1,1,2,2,1,2,0.1,0.3,100.00%,7,2,0,5,0.3,0.3,1,8,0.5,4,1,4
521,Joique Bell,2TM,30,,7,0,1,1,-2,-2,0,0,0.1,-0.3,100.00%,3,6,0,6,2,0.9,0.4,4,1,4,0,0
522,David Morgan,MIN,23,,12,0,1,1,4,4,0,4,0.1,0.3,100.00%,,,,,,,,1,4,4,0,0
523,Chase Reynolds,LAR,29,,16,0,1,1,4,4,0,4,0.1,0.3,100.00%,,,,,,,,1,4,4,0,0
524,Rod Smith,DAL,24,,7,0,1,1,4,4,0,4,0.1,0.6,100.00%,,,,,,,,1,4,4,0,0
525,Randall Telfer,CLE,24,te,14,5,7,2,4,2,0,7,0.1,0.3,28.60%,,,,,,,,2,2,4,0,0
526,Matt Cassel,TEN,34,qb,4,1,0,0,0,,0,0,0,0,0.00%,4,3,0,3,0.8,0.8,1,4,0.8,3,0,1
527,Marcus Murphy,NOR,25,,3,0,1,1,3,3,0,3,0.3,1,100.00%,,,,,,,,1,3,3,0,0
528,Jordan Payton,CLE,23,,4,0,3,1,3,3,0,3,0.3,0.8,33.30%,,,,,,,,1,3,3,0,0
529,Scott Tolzien,IND,29,qb,3,1,0,0,0,,0,0,0,0,0.00%,6,3,0,5,0.5,1,2,6,0.5,3,0,1
530,Joe Webb,CAR,30,,14,0,3,1,3,3,0,3,0.1,0.2,33.30%,,,,,,,,1,3,3,0,0
531,Chris Prosinski,CHI,29,s,16,1,0,0,0,,0,0,0,0,0.00%,1,2,0,2,2,0.1,0.1,1,2,2,0,0
532,Will Tukuafu,SEA,32,fb,7,1,1,0,0,,0,0,0,0,0.00%,2,2,0,2,1,0.3,0.3,2,1,2,0,0
533,Trevone Boykin,SEA,23,,5,0,0,0,0,,0,0,0,0,0.00%,8,1,0,11,0.1,0.2,1.6,8,0.1,1,0,1
534,Jakeem Grant,MIA,24,,16,0,1,0,0,,0,0,0,0,0.00%,1,1,0,1,1,0.1,0.1,1,1,1,0,4
535,Donald Penn,OAK,33,LT,16,16,1,1,1,1,1,1,0.1,0.1,100.00%,,,,,,,,1,1,1,1,0
536,Dontari Poe,KAN,26,NT,16,16,0,0,0,,0,0,0,0,0.00%,1,1,1,1,1,0.1,0.1,1,1,1,1,0
537,D.J. Tialavea,ATL,25,,2,0,1,1,1,1,1,1,0.5,0.5,100.00%,,,,,,,,1,1,1,1,0
538,Charlie Whitehurst,CLE,34,,1,0,0,0,0,,0,0,0,0,0.00%,2,1,0,2,0.5,1,2,2,0.5,1,0,0
