Rk,Player,Tm,Age,Pos,Games G,Games GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Yds Touch,Total Yds Y/Tch,Total Yds YScm,RRTD,Fmb
148,Jermaine Kearse,SEA,26,WR,16,15,89,41,510,12.4,1,36,2.6,31.9,46.10%,,,,,,,,41,12.4,510,1,0
149,Breshad Perriman,BAL,23,wr,16,1,66,33,499,15.1,3,53,2.1,31.2,50.00%,1,2,0,2,2,0.1,0.1,34,14.7,501,3,0
150,Lance Kendricks,LAR,28,TE,16,16,87,50,499,10,2,44,3.1,31.2,57.50%,,,,,,,,50,10,499,2,1
151,Cordarrelle Patterson,MIN,25,WR,16,8,70,52,453,8.7,2,39,3.3,28.3,74.30%,7,43,0,22,6.1,2.7,0.4,59,8.4,496,2,2
152,Fozzy Whittaker,CAR,27,,16,0,33,25,226,9,0,25,1.6,14.1,75.80%,57,265,0,25,4.6,16.6,3.6,82,6,491,0,1
153,Rex Burkhead,CIN,26,rb,16,1,20,17,145,8.5,0,18,1.1,9.1,85.00%,74,344,2,17,4.6,21.5,4.6,91,5.4,489,2,1
154,Michael Floyd,2TM,27,,15,8,76,37,488,13.2,5,39,2.5,32.5,48.70%,,,,,,,,37,13.2,488,5,0
155,Zach Miller,CHI,32,TE,10,8,64,47,486,10.3,4,34,4.7,48.6,73.40%,,,,,,,,47,10.3,486,4,0
156,Charcandrick West,KAN,25,rb,15,2,34,28,188,6.7,2,28,1.9,12.5,82.40%,88,293,1,28,3.3,19.5,5.9,116,4.1,481,3,0
157,Hunter Henry,SDG,22,TE,15,10,53,36,478,13.3,8,59,2.4,31.9,67.90%,,,,,,,,36,13.3,478,8,1
158,Allen Hurns,JAX,25,WR,11,11,76,35,477,13.6,3,42,3.2,43.4,46.10%,,,,,,,,35,13.6,477,3,1
159,Colin Kaepernick,SFO,29,QB,12,11,0,0,0,,0,0,0,0,0.00%,69,468,2,30,6.8,39,5.8,69,6.8,468,2,9
160,DeAngelo Williams,PIT,33,rb,9,4,27,18,118,6.6,2,20,2,13.1,66.70%,98,343,4,17,3.5,38.1,10.9,116,4,461,6,0
161,Alfred Blue,HOU,25,rb,14,2,16,12,40,3.3,0,12,0.9,2.9,75.00%,100,420,1,25,4.2,30,7.1,112,4.1,460,1,2
162,Shaun Draughn,SFO,29,rb,16,1,39,29,263,9.1,2,29,1.8,16.4,74.40%,74,196,4,18,2.6,12.3,4.6,103,4.5,459,6,1
163,Sammie Coates,PIT,23,wr,14,5,49,21,435,20.7,2,72,1.5,31.1,42.90%,4,14,0,15,3.5,1,0.3,25,18,449,2,0
164,Thomas Rawls,SEA,23,rb,9,7,17,13,96,7.4,0,20,1.4,10.7,76.50%,109,349,3,45,3.2,38.8,12.1,122,3.6,445,3,0
165,Ryan Griffin,HOU,26,te,16,5,74,50,442,8.8,2,45,3.1,27.6,67.60%,,,,,,,,50,8.8,442,2,1
166,Marquise Goodwin,BUF,26,WR,15,9,68,29,431,14.9,3,84,1.9,28.7,42.60%,,,,,,,,29,14.9,431,3,0
167,Kendall Wright,TEN,27,wr,11,4,42,29,416,14.3,3,48,2.6,37.8,69.00%,1,15,0,15,15,1.4,0.1,30,14.4,431,3,0
168,Sammy Watkins,BUF,23,WR,8,8,52,28,430,15.4,2,62,3.5,53.8,53.80%,,,,,,,,28,15.4,430,2,0
169,Corey Coleman,CLE,22,WR,10,10,73,33,413,12.5,3,58,3.3,41.3,45.20%,2,10,0,9,5,1,0.2,35,12.1,423,3,0
170,Quinton Patton,SFO,26,WR,14,14,63,37,408,11,0,45,2.6,29.1,58.70%,,,,,,,,37,11,408,0,1
171,Dwayne Allen,IND,26,tb/TE,14,14,52,35,406,11.6,6,23,2.5,29,67.30%,,,,,,,,35,11.6,406,6,1
172,Malcolm Mitchell,NWE,24,rb/wr,14,6,48,32,401,12.5,4,56,2.3,28.6,66.70%,,,,,,,,32,12.5,401,4,0
173,Seth Roberts,OAK,25,wr,16,6,77,38,397,10.4,5,41,2.4,24.8,49.40%,,,,,,,,38,10.4,397,5,0
174,Will Tye,NYG,25,TE,16,10,70,48,395,8.2,1,27,3,24.7,68.60%,,,,,,,,48,8.2,395,1,0
175,Tyler Eifert,CIN,26,te,8,2,47,29,394,13.6,5,71,3.6,49.3,61.70%,,,,,,,,29,13.6,394,5,0
176,Dorial Green-Beckham,PHI,23,wr,15,7,74,36,392,10.9,2,26,2.4,26.1,48.60%,,,,,,,,36,10.9,392,2,0
177,Jermaine Gresham,ARI,28,TE,16,14,61,37,391,10.6,2,34,2.3,24.4,60.70%,,,,,,,,37,10.6,391,2,1
178,Vance McDonald,SFO,26,TE,11,11,45,24,391,16.3,4,75,2.2,35.5,53.30%,,,,,,,,24,16.3,391,4,0
179,Eddie Lacy,GNB,26,rb,5,5,7,4,28,7,0,17,0.8,5.6,57.10%,71,360,0,31,5.1,72,14.2,75,5.2,388,0,0
180,C.J. Prosise,SEA,22,rb,6,2,19,17,208,12.2,0,43,2.8,34.7,89.50%,30,172,1,72,5.7,28.7,5,47,8.1,380,1,0
181,Nelson Agholor,PHI,23,WR,15,14,69,36,365,10.1,2,40,2.4,24.3,52.20%,5,14,0,5,2.8,0.9,0.3,41,9.2,379,2,1
182,Blake Bortles,JAX,24,QB,16,16,1,1,20,20,1,20,0.1,1.3,100.00%,58,359,3,27,6.2,22.4,3.6,59,6.4,379,4,8
183,Jared Cook,GNB,29,tb/te,10,5,51,30,377,12.6,1,47,3,37.7,58.80%,,,,,,,,30,12.6,377,1,1
184,Dion Lewis,NWE,26,rb,7,5,24,17,94,5.5,0,16,2.4,13.4,70.80%,64,283,0,15,4.4,40.4,9.1,81,4.7,377,0,1
185,Justin Forsett,3TM,31,,9,6,27,20,85,4.3,0,11,2.2,9.4,74.10%,87,291,1,64,3.3,32.3,9.7,107,3.5,376,1,2
186,Devin Funchess,CAR,22,wr,15,7,58,23,371,16.1,4,48,1.5,24.7,39.70%,,,,,,,,23,16.1,371,4,0
187,Aaron Rodgers,GNB,33,QB,16,16,0,0,0,,0,0,0,0,0.00%,67,369,4,23,5.5,23.1,4.2,67,5.5,369,4,8
188,Eddie Royal,CHI,30,wr,9,1,43,33,369,11.2,2,64,3.7,41,76.70%,,,,,,,,33,11.2,369,2,2
189,Wendell Smallwood,PHI,22,rb,13,3,13,6,55,9.2,0,18,0.5,4.2,46.20%,77,312,1,19,4.1,24,5.9,83,4.4,367,1,1
190,Damien Williams,MIA,24,,15,0,32,23,249,10.8,3,58,1.5,16.6,71.90%,35,115,3,23,3.3,7.7,2.3,58,6.3,364,6,1
191,Cam Newton,CAR,27,QB,15,14,0,0,0,,0,0,0,0,0.00%,90,359,5,28,4,23.9,6,90,4,359,5,3
192,Clive Walford,OAK,25,te/wr,15,8,52,33,359,10.9,3,31,2.2,23.9,63.50%,,,,,,,,33,10.9,359,3,0
193,Garrett Celek,SFO,28,te,16,6,50,29,350,12.1,3,31,1.8,21.9,58.00%,,,,,,,,29,12.1,350,3,2
194,Russell Shepard,TAM,26,wr,14,4,40,23,341,14.8,2,24,1.6,24.4,57.50%,1,9,0,9,9,0.6,0.1,24,14.6,350,2,0
195,Marcus Mariota,TEN,23,QB,15,15,1,0,0,,0,0,0,0,0.00%,60,349,2,41,5.8,23.3,4,60,5.8,349,2,9
196,Robert Turbin,IND,27,,15,0,35,26,179,6.9,1,19,1.7,11.9,74.30%,47,164,7,18,3.5,10.9,3.1,73,4.7,343,8,0
